scenario_id,family,generator_provider,pJ,pD,pJ_null,pD_null
F3-A-48T,F3,anthropic,0.05554434881716479,0.33533265348098185,0.06515863400008046,0.32829067975555537
F3-A-52,F3,anthropic,0.5381176720608545,0.5482992199768768,0.08674353223821561,0.1418587412274216
F3-A-52T,F3,anthropic,0.14014980909099067,0.4372181983188158,0.09863580468660907,0.32136843779542307
F3-A-54,F3,anthropic,0.03329422935969517,0.19823287644967819,0.04243771665367586,0.21302815474510473
F3-A-54T,F3,anthropic,0.07156549005455369,0.2533367460111131,0.15775042683385992,0.17971959386382316
F3-B-45T,F3,openai,0.49367260302011395,0.5316078067175358,0.6332923907266504,0.5428195583804865
F3-B-51,F3,openai,0.300310303602822,0.42464028002536386,0.2179974161249004,0.3204642483414066
F3-B-51T,F3,openai,0.3367651743787312,0.14068602277199027,0.18718736725761653,0.28384002700085026
F3-B-53T,F3,openai,0.3023703828298263,0.25571023293512707,0.26390990603513126,0.40300032155868265
F3-B-55,F3,openai,0.6962118888330775,0.7306992655313271,0.4832935739394947,0.6372948283542712
F3-B-55T,F3,openai,0.9484188131877807,0.7946255436196308,0.9654781308555874,0.8853846330910522
F4-A-14T,F4,anthropic,0.03238241263545931,0.27771835891197283,0.036810866396699726,0.23108001250397298
F4-A-16,F4,anthropic,0.6164260615709845,0.2073924241191206,0.378586387088499,0.12018307356725813
F4-A-18T,F4,anthropic,0.10018314773532595,0.4604188197727893,0.029200729356742654,0.221544366339257
F4-A-22,F4,anthropic,0.23253641367099628,0.304725269799495,0.07814097437806442,0.07542405166283332
F4-A-24T,F4,anthropic,0.19464963142581856,0.461714709791404,0.13605108876431588,0.08811920894320854
F4-A-34T,F4,anthropic,0.23073900017143772,0.2569750535331754,0.19997250964689878,0.1988033935935885
F4-A-36,F4,anthropic,0.1448220129933828,0.3631846446873567,0.11348224735991058,0.3124796368856383
F4-B-13,F4,openai,0.13132436606733308,0.6303901618114388,0.2508341277766922,0.07743752179884755
F4-B-19T,F4,openai,0.07614435320885203,0.130282050483617,0.06514521133102129,0.07233747576233938
F4-B-23T,F4,openai,0.1907783705556064,0.32805666231512587,0.05600143781358128,0.19621092986439015
F4-B-25,F4,openai,0.07898439177041035,0.7362565508566735,0.3179085665737591,0.4956358146041292
F4-B-25T,F4,openai,0.1501248534868798,0.6043118295242934,0.08656759288739521,0.5479323681372266
F4-B-31,F4,openai,0.11849428106645032,0.23110539476242148,0.1466020101386024,0.06564962037893642
F4-B-31T,F4,openai,0.03233793893338126,0.31227217900798754,0.028763587284665958,0.10622686898887924
F4-B-33,F4,openai,0.14728919064200527,0.13170770253490674,0.2893569843168321,0.053178261020417554
F4-B-37T,F4,openai,0.34772285308036993,0.6142943723558245,0.35970863459055324,0.311007043025615
F4-A-00,F4,anthropic,0.10352306614658077,0.27924607945056673,0.12261907315902681,0.14850056252281854
F4-A-00T,F4,anthropic,0.06587319018903193,0.23113740338465055,0.10504916247573365,0.24385106837231652
F4-A-02T,F4,anthropic,0.06146080756976641,0.31610473971729736,0.11676767848219255,0.3257438193270818
