run,model,scenario_id,above_floor,above_floor_null,pD,pJ,g,pD_null,pJ_null,g_null,ind,ind_null
three_cell_union,instruct,F2-A-32,False,False,0.02678276456975814,0.11457335831761918,-0.08779059374786104,0.01615940334438847,0.03409346535010173,-0.01793406200571326,0,0
three_cell_union,instruct,F2-A-34,False,False,0.002752626307190761,0.11430007404616067,-0.11154744773896991,0.002524442379922127,0.060595161128972,-0.05807071874904987,0,0
three_cell_union,instruct,F2-A-36,True,False,0.0028370797308882034,0.03158951972816411,-0.028752439997275905,0.0012646875452231212,0.05312941900507927,-0.051864731459856143,0,0
three_cell_union,instruct,F2-A-38,True,True,0.010017337313166973,0.007239221049536547,0.0027781162636304254,0.014597495668340774,0.002754776480255729,0.011842719188085046,0,0
three_cell_union,instruct,F2-B-01,False,True,0.0023655774640984886,0.03218228492990717,-0.02981670746580868,0.0011544288109344692,0.03832396392026827,-0.037169535109333796,0,0
three_cell_union,instruct,F2-B-03,False,False,0.008411036101799196,0.011628370164379134,-0.0032173340625799383,0.00325950038593636,0.015587002901862467,-0.012327502515926108,0,0
three_cell_union,instruct,F2-B-05,False,True,0.0052462714773746245,0.009956893519502184,-0.0047106220421275595,0.004968811250616634,0.009713490203921796,-0.004744678953305162,0,0
three_cell_union,instruct,F2-B-07,True,False,0.005306104576091047,0.02123853417634138,-0.015932429600250334,0.004483050353085571,0.007501558354038275,-0.0030185080009527037,0,0
three_cell_union,instruct,F2-B-09,False,False,0.10124931542397733,0.06466516118472661,0.036584154239250724,0.036720796428563414,0.061649097794588284,-0.02492830136602487,0,0
three_cell_union,instruct,F2-B-11,False,True,0.004150325651599311,0.03969155477520291,-0.0355412291236036,0.0013097876006685427,0.0037507510405997324,-0.0024409634399311896,0,0
three_cell_union,instruct,F2-B-13,True,True,0.006799460209714208,0.016776555295969307,-0.009977095086255099,0.001299029259748952,0.018012740234833166,-0.016713710975084214,0,0
three_cell_union,instruct,F2-B-15,True,True,0.0009929314235720508,0.004510110714291248,-0.0035171792907191975,0.0009185416707482919,0.014481600766588165,-0.013563059095839873,0,0
three_cell_union,instruct,F2-B-17,False,False,0.003831045046412122,0.07386900967649732,-0.0700379646300852,0.003050864748182896,0.0530303997661577,-0.0499795350179748,0,0
three_cell_union,instruct,F2-B-19,False,True,0.002251273382627003,0.006315138139208133,-0.004063864756581131,0.001350051304150408,0.004305507121767499,-0.002955455817617091,0,0
three_cell_union,instruct,F2-B-21,False,False,0.0005720544562359879,0.02228678841328733,-0.02171473395705134,0.0006803184439969421,0.06196464576076381,-0.06128432731676687,0,0
three_cell_union,instruct,F2-B-23,True,True,0.001425715095377447,0.006426004605482951,-0.0050002895101055045,0.0035281076467465764,0.002834748656729452,0.0006933589900171245,0,0
three_cell_union,instruct,F2-B-25,False,True,0.004178829723309766,0.0024831450815650325,0.0016956846417447331,0.0035609862588623998,0.0013717353178820013,0.0021892509409803984,0,0
three_cell_union,instruct,F2-B-27,False,False,0.06532826331802799,0.011243369840704415,0.05408489347732358,0.08605494532923255,0.01245746661227118,0.07359747871696137,0,0
three_cell_union,instruct,F2-B-29,True,True,0.004040443826400727,0.010796257850153947,-0.0067558140237532205,0.0018746280349052076,0.007688821465955262,-0.005814193431050055,0,0
three_cell_union,instruct,F2-B-31,True,True,0.005095116112139255,0.222692819125825,-0.21759770301368575,0.0049547993161490654,0.16372362203661478,-0.15876882272046572,0,0
three_cell_union,instruct,F2-B-33,False,True,0.006790206212379954,0.08652876942805841,-0.07973856321567846,0.0027340671635260674,0.07117555473500825,-0.06844148757148219,0,0
three_cell_union,instruct,F2-B-35,True,False,0.0027745420457218947,0.03708351092487144,-0.03430896887914955,0.004908271720493397,0.06566684638895912,-0.060758574668465716,0,0
three_cell_union,instruct,F2-B-37,False,False,0.0031442958580482523,0.19027242058258778,-0.18712812472453952,0.003676753577793773,0.22674218596572068,-0.22306543238792692,0,0
three_cell_union,instruct,F2-B-39,False,False,0.05679281843374692,0.19615700844538253,-0.1393641900116356,0.01218465511083678,0.06857366572683418,-0.0563890106159974,0,0
